Potential energy (Ha)  Kinetic Energy (Ha)	Pressure (GPa)
-685.4036530723        6.4630102594		2404.5434484426
-685.4497604258        6.4630102594		2397.1156993579
-685.5526201033        6.4630102594		2381.1680269206
-685.6436716809        6.4630102594		2366.4528347969
-685.7056758317        6.4630102594		2355.7815091719
-685.7194392857        6.4630102594		2351.3306118924
-685.7172172645        6.4630102594		2349.2284242449
-685.7379945092        6.4630102594		2347.5397843970
-685.7488238209        6.4630102594		2347.6298876245
-685.7588925876        6.4630102594		2346.7990557687
-685.8122123552        6.4630102594		2340.2721838373
-685.8844319928        6.4630102594		2332.4612674096
-685.9260791664        6.4630102594		2327.5508450277
-685.9299345510        6.4630102594		2327.7505844305
-685.8577083129        6.4630102594		2333.2526043858
-685.8236036895        6.4630102594		2336.3590267492
-685.9382103703        6.4630102594		2331.4731648843
-685.9922541976        6.4630102594		2330.6232286007
-685.9430789076        6.4630102594		2338.0157957909
-685.8677066563        6.4630102594		2345.8338274169
-685.8771906519        6.4630102594		2345.5690595461
-685.9497170096        6.4630102594		2339.5524924920
-685.9730658526        6.4630102594		2337.9696897990
-685.8786173463        6.4630102594		2347.3661027237
-685.7470337014        6.4630102594		2362.2438673768
-685.6501711149        6.4630102594		2373.5403014521
-685.5311444311        6.4630102594		2384.0005904466
-685.3799399264        6.4630102594		2393.7948369619
-685.3573081102        6.4630102594		2388.6448139441
-685.4562050703        6.4630102594		2374.8131941721
-685.5691833458        6.4630102594		2362.2972002838
-685.5674020598        6.4630102594		2359.1863403191
-685.5211271725        6.4630102594		2361.2134404679
-685.5425608370        6.4630102594		2361.2275693552
-685.5618630530        6.4630102594		2360.0275555476
-685.5615691956        6.4630102594		2361.2674880896
-685.5564153393        6.4630102594		2363.6147868984
-685.5526380186        6.4630102594		2364.3071963782
-685.5888756014        6.4630102594		2359.7421319568
-685.6315007392        6.4630102594		2354.2020803542
-685.6630161464        6.4630102594		2352.7631365524
-685.6700724093        6.4630102594		2354.3701978905
-685.6988407533        6.4630102594		2354.1064317501
-685.7402783540        6.4630102594		2351.7129092393
-685.7760242730        6.4630102594		2346.8880259275
-685.7705159124        6.4630102594		2346.7274496873
-685.6869349261        6.4630102594		2353.0719886095
-685.5452280600        6.4630102594		2365.7103692669
-685.4538376499        6.4630102594		2377.7707949026
-685.4607414290        6.4630102594		2384.5319832776
-685.4629717289        6.4630102594		2390.6142639799
-685.4012265919        6.4630102594		2398.2362208950
-685.2567733347        6.4630102594		2408.5005495558
-685.3581957187        6.4630102594		2406.3317149389
-685.3222610370        6.4630102594		2409.9523114492
-685.2958384649        6.4630102594		2410.9686602872
-685.3198035144        6.4630102594		2406.4688804886
-685.3555361600        6.4630102594		2401.9220675795
-685.3392264135        6.4630102594		2403.3209855414
-685.2811088216        6.4630102594		2407.9677083416
-685.3053843399        6.4630102594		2404.0331416216
-685.3534452095        6.4630102594		2398.6096556824
-685.4264266600        6.4630102594		2391.6834703796
-685.5188216269        6.4630102594		2383.9163078472
-685.5546700672        6.4630102594		2383.1852029782
-685.4958613051        6.4630102594		2389.8803476511
-685.4542131522        6.4630102594		2392.8170296374
-685.4700884580        6.4630102594		2388.4817039671
-685.4524881017        6.4630102594		2384.5288466009
-685.5669797903        6.4630102594		2371.0489128809
-685.7905725458        6.4630102594		2346.3730130724
-685.9923045437        6.4630102594		2322.9703198870
-686.1101808269        6.4630102594		2308.4548120080
-686.1687085293        6.4630102594		2301.4078935939
-686.1757107972        6.4630102594		2300.4663298712
-686.1198833544        6.4630102594		2306.9409390270
-686.0463870388        6.4630102594		2315.1593847144
-685.9335459827        6.4630102594		2327.9641041268
-685.8199814040        6.4630102594		2340.1427748422
-685.7500619967        6.4630102594		2347.6348936202
-685.7056120921        6.4630102594		2350.4141518965
-685.7165701444        6.4630102594		2348.9828045643
-685.7014533821        6.4630102594		2349.2589642225
-685.6542822367        6.4630102594		2352.1469779566
-685.6357930986        6.4630102594		2354.2354915375
-685.6409730934        6.4630102594		2355.2761454040
-685.6225906545        6.4630102594		2355.8095820630
-685.6767119147        6.4630102594		2348.7879404706
-685.8143278866        6.4630102594		2332.0401912892
-685.8966281906        6.4630102594		2318.7559914298
-685.9499027030        6.4630102594		2307.0230733287
-686.0621689979        6.4630102594		2294.8067969931
-686.1024615674        6.4630102594		2289.0078042851
-686.0645883037        6.4630102594		2291.0553599568
-685.9872594206        6.4630102594		2299.5146428439
-685.8887594984        6.4630102594		2310.4634423824
-685.7524203066        6.4630102594		2322.5692772376
-685.7418183344        6.4630102594		2325.1710077609
-685.8176054228        6.4630102594		2322.0660038613
-685.8056813314        6.4630102594		2325.8023529548
-685.7297668457        6.4630102594		2336.3629929782
-685.6151716238        6.4630102594		2350.3079208080
-685.5579353114        6.4630102594		2361.0358283904
-685.5332984285        6.4630102594		2366.3978181840
-685.5521604126        6.4630102594		2364.4509378194
-685.6242868136        6.4630102594		2355.2458100190
-685.7431991246        6.4630102594		2341.7310382948
-685.8406688663        6.4630102594		2330.7178116955
-685.8616531198        6.4630102594		2327.4412365381
-685.7688713001        6.4630102594		2337.0504422572
-685.5769308369        6.4630102594		2355.7853841148
-685.5217606513        6.4630102594		2364.4145515511
-685.6356681167        6.4630102594		2357.3181234900
-685.7101683373        6.4630102594		2349.1819060334
-685.7046174488        6.4630102594		2349.9197578978
-685.6802886221        6.4630102594		2353.6786446608
-685.6323230479        6.4630102594		2359.5100779636
-685.6436746758        6.4630102594		2360.8008055384
-685.7387775481        6.4630102594		2353.2778867568
-685.8018892352        6.4630102594		2345.5961106206
-685.8310948095        6.4630102594		2339.2725666629
-685.8578847494        6.4630102594		2333.0235901440
-685.8939797960        6.4630102594		2328.4116255137
-685.9297772493        6.4630102594		2326.3202432418
-685.9053324493        6.4630102594		2330.0519588918
-685.8522223316        6.4630102594		2337.3038940600
-685.7770533323        6.4630102594		2347.1607992458
-685.6731864295        6.4630102594		2360.4156297057
-685.5826892961        6.4630102594		2371.4946926541
-685.6188477663        6.4630102594		2369.8299263698
-685.6963851234        6.4630102594		2361.5173067976
-685.7307637871        6.4630102594		2356.1632251050
-685.7230140223        6.4630102594		2355.4892200836
-685.6912233665        6.4630102594		2358.8252757633
-685.6347719578        6.4630102594		2362.3981296130
-685.5993082821        6.4630102594		2363.4357887512
-685.6529462701        6.4630102594		2357.8911570531
-685.7266867781        6.4630102594		2350.6753503433
-685.7446025231        6.4630102594		2347.0838672235
-685.7414840163        6.4630102594		2346.0808584070
-685.7604968411        6.4630102594		2345.4445426106
-685.7985570274        6.4630102594		2341.7064289232
-685.8396584147        6.4630102594		2336.8275486908
-685.8450051256        6.4630102594		2334.8725939025
-685.8138014972        6.4630102594		2337.5912171959
-685.7337690579        6.4630102594		2346.1381915423
-685.5771337831        6.4630102594		2362.4389773665
-685.4255094574        6.4630102594		2378.0983080158
-685.3428609001        6.4630102594		2387.4873284043
-685.3585434363        6.4630102594		2386.6075296259
-685.4504658654        6.4630102594		2377.0300341703
-685.5725022001        6.4630102594		2364.3336424729
-685.6974438753        6.4630102594		2353.7040108052
-685.6927368712        6.4630102594		2351.6697486558
-685.6907065696        6.4630102594		2350.2894503614
-685.7332375669        6.4630102594		2349.0396554361
-685.6688125946        6.4630102594		2355.6355956448
-685.6139214371        6.4630102594		2364.2457487602
-685.5488329113        6.4630102594		2373.3728833445
-685.4822942762        6.4630102594		2382.6425443599
-685.3230154178        6.4630102594		2400.0018067158
-685.1817716152        6.4630102594		2413.3332003998
-685.2679737992        6.4630102594		2407.2893459020
-685.3907514816        6.4630102594		2392.7179368086
-685.4942660144        6.4630102594		2379.3867421052
-685.6139473070        6.4630102594		2365.7214735390
-685.7366893587        6.4630102594		2353.1675806459
-685.8395383481        6.4630102594		2343.2951729692
-685.8820291385        6.4630102594		2338.8974815218
-685.8690532300        6.4630102594		2341.6731402258
-685.8188056565        6.4630102594		2348.2293215865
-685.7211204340        6.4630102594		2360.1961801582
-685.5584632653        6.4630102594		2376.3235699031
-685.4180091588        6.4630102594		2389.4663909016
-685.3981560131        6.4630102594		2389.8676675126
-685.4627575525        6.4630102594		2382.2891187604
-685.4752522157        6.4630102594		2380.1092349590
-685.4453009754        6.4630102594		2385.1652642647
-685.3739229674        6.4630102594		2395.0422649548
-685.3286027689        6.4630102594		2401.9378007106
-685.3723140535        6.4630102594		2398.7001421782
-685.4646292899        6.4630102594		2388.5970018819
-685.5770845746        6.4630102594		2377.6061119966
-685.6675676345        6.4630102594		2369.2300979910
-685.7075382402        6.4630102594		2364.6940225754
-685.6940490548        6.4630102594		2364.8882050272
-685.6880956329        6.4630102594		2363.8876955186
-685.7400597044        6.4630102594		2359.0500912228
-685.7591844543        6.4630102594		2355.1514046392
-685.7661068825        6.4630102594		2351.8986842987
-685.7480301590        6.4630102594		2350.9901903407
-685.6510346966        6.4630102594		2355.5865332192
-685.6638330506        6.4630102594		2353.5782164585
-685.7687184096        6.4630102594		2340.0562669655
-685.8530795881        6.4630102594		2326.9146460461
-685.9523897428        6.4630102594		2317.9964123886
-685.9521964139        6.4630102594		2317.5986815564
-685.9244956159        6.4630102594		2320.7894550181
-685.9052282752        6.4630102594		2324.3262260848
-685.8543444238        6.4630102594		2332.4303096983
-685.7995085739        6.4630102594		2342.3349765811
-685.7502173080        6.4630102594		2352.3116236849
-685.6882659225        6.4630102594		2361.2684084758
-685.6408841265        6.4630102594		2365.2783277427
-685.5506018855        6.4630102594		2366.9257723163
-685.5293255284        6.4630102594		2364.9126507130
-685.5195118745        6.4630102594		2362.8129692142
-685.5224325798        6.4630102594		2362.9510488684
-685.5386614630        6.4630102594		2361.3579496916
-685.6368080796        6.4630102594		2350.3748767483
-685.7235640660        6.4630102594		2340.6667957825
-685.7040721532        6.4630102594		2340.6535447672
-685.7078812470        6.4630102594		2338.2862730575
-685.7713971987        6.4630102594		2330.8655737135
-685.8032822623        6.4630102594		2324.6149427239
-685.8313663465        6.4630102594		2321.8431806833
-685.8158432159        6.4630102594		2326.7564991786
-685.7499029435        6.4630102594		2337.7271139775
-685.6614498660        6.4630102594		2352.3020748697
-685.5120226972        6.4630102594		2372.7166721502
-685.3587602673        6.4630102594		2390.6245304642
-685.4155539437        6.4630102594		2386.0232784390
-685.5008490475        6.4630102594		2373.6426528822
-685.6033151655        6.4630102594		2361.4567092724
-685.7170030819        6.4630102594		2354.2079432577
-685.7615721113        6.4630102594		2351.3599070390
-685.7957234157        6.4630102594		2347.6778693516
-685.8470587986        6.4630102594		2341.9973147814
-685.8551463900        6.4630102594		2340.3888471866
-685.8222614663        6.4630102594		2342.0847137709
-685.7828684357        6.4630102594		2343.8590668627
-685.7015592911        6.4630102594		2348.0474695722
-685.5757886767        6.4630102594		2355.4425435079
-685.5540604420        6.4630102594		2359.7790824546
-685.5176649704        6.4630102594		2369.3243307953
-685.4180849984        6.4630102594		2384.0093464381
-685.3480978815        6.4630102594		2397.5458852785
-685.2944571492        6.4630102594		2408.1467040170
-685.2016027648        6.4630102594		2417.8987932347
-685.1466650620        6.4630102594		2421.3000359410
-685.2650579707        6.4630102594		2414.2971434531
-685.2604455102        6.4630102594		2415.2206141604
-685.1639443231        6.4630102594		2423.5864063502
-685.0905079671        6.4630102594		2430.2242720032
-685.0754543689        6.4630102594		2431.9307244854
-685.0501455910        6.4630102594		2434.9877947017
-685.0185052362        6.4630102594		2440.2812153817
-684.9626733086        6.4630102594		2447.0415160188
-684.9135557330        6.4630102594		2452.4133539654
-684.9280165046        6.4630102594		2450.1484355869
-685.0239741908        6.4630102594		2438.3391771885
-685.1581201871        6.4630102594		2419.5423184729
-685.2772085263        6.4630102594		2400.8449620313
-685.3942901184        6.4630102594		2381.4039179175
-685.5258280298        6.4630102594		2363.4373555372
-685.7299422974        6.4630102594		2346.8046403198
-685.7684139758        6.4630102594		2342.3480202403
-685.7320845566        6.4630102594		2347.2039018714
-685.6222068754        6.4630102594		2358.6066131706
-685.4728681010        6.4630102594		2373.8451448109
-685.4314105142        6.4630102594		2380.2131356264
-685.4448182403        6.4630102594		2383.9293494270
-685.4269872560        6.4630102594		2390.8261304855
-685.3804814279        6.4630102594		2399.2251174289
-685.3560828543        6.4630102594		2402.8890375903
-685.3519295808        6.4630102594		2401.7104272406
-685.3871339706        6.4630102594		2398.2436506362
-685.3996810905        6.4630102594		2397.6781595158
-685.3644503355        6.4630102594		2401.9107058134
-685.3087453379        6.4630102594		2406.9135457873
-685.2148317966        6.4630102594		2412.9065778548
-685.2166989450        6.4630102594		2411.2691249290
-685.3547133680        6.4630102594		2399.0781494263
-685.4774886220        6.4630102594		2385.0039637608
-685.5516087703        6.4630102594		2375.2796313051
-685.5848431397        6.4630102594		2369.3896447236
-685.5768746912        6.4630102594		2366.3671527737
-685.6119148561        6.4630102594		2361.4074817600
-685.6576760306        6.4630102594		2357.1789591968
-685.6667758568        6.4630102594		2355.9249168993
-685.6564281668        6.4630102594		2356.1825431290
-685.7204221586        6.4630102594		2350.5424184563
-685.7821028982        6.4630102594		2345.2764364198
-685.7771012682        6.4630102594		2344.6314405079
-685.6964915069        6.4630102594		2352.8837584602
-685.5494789753        6.4630102594		2369.0944377778
-685.3672059102        6.4630102594		2390.1563152204
-685.2378568904        6.4630102594		2404.9646782111
-685.2826769210        6.4630102594		2400.7468575752
-685.3438015650        6.4630102594		2392.8255673717
-685.3650905194        6.4630102594		2389.8630699783
-685.3409233656        6.4630102594		2391.7277866757
-685.3634840744        6.4630102594		2388.6396747333
-685.4609440252        6.4630102594		2378.1256981023
-685.5190710473        6.4630102594		2371.9459517788
-685.4772703810        6.4630102594		2375.5120085415
-685.4052626810        6.4630102594		2381.2518092305
-685.4196476590        6.4630102594		2382.1107061359
-685.3244915365        6.4630102594		2391.6115062358
-685.1731484965        6.4630102594		2406.4484516765
-685.1238075817        6.4630102594		2414.0723116564
-685.1970086907        6.4630102594		2408.3773085422
-685.3245529081        6.4630102594		2395.8963356442
-685.4105210954        6.4630102594		2386.3133151377
-685.4688201960        6.4630102594		2379.0476028102
-685.5476688533        6.4630102594		2371.2011483139
-685.6245784351        6.4630102594		2362.1283335515
-685.6601497793        6.4630102594		2358.0350485819
-685.6622908105        6.4630102594		2358.9643665877
-685.6144524623        6.4630102594		2364.7610531104
-685.5495379060        6.4630102594		2373.0826628233
-685.4990668730        6.4630102594		2379.8212189430
-685.4950060872        6.4630102594		2383.0315516731
-685.4114833418        6.4630102594		2392.6659210479
-685.2390200907        6.4630102594		2409.2833025760
-685.1623896367        6.4630102594		2419.8379027644
-685.1537004581        6.4630102594		2421.2105144922
-685.1280183370        6.4630102594		2423.2916215768
-685.0963096607        6.4630102594		2424.8108130279
-685.1390991865        6.4630102594		2418.5524974963
-685.2601695266        6.4630102594		2401.6099756724
-685.4858330875        6.4630102594		2379.1308352393
-685.6001203641        6.4630102594		2364.5015290970
-685.6333965008        6.4630102594		2359.1026806712
-685.6045616522        6.4630102594		2362.2852440583
-685.5686849684        6.4630102594		2367.5017953237
-685.5369542885        6.4630102594		2371.0417029245
-685.4702980515        6.4630102594		2378.4336000866
-685.3640371529        6.4630102594		2389.4376720621
-685.3031828318        6.4630102594		2394.5178289446
-685.3433392363        6.4630102594		2390.0674442487
-685.4026269042        6.4630102594		2383.1319493628
-685.4419875486        6.4630102594		2378.2797694036
-685.4490464163        6.4630102594		2376.9319973657
-685.3945052076        6.4630102594		2382.7118446077
-685.2727097638        6.4630102594		2393.7672559425
-685.2054672428        6.4630102594		2399.0799047285
-685.2869814970        6.4630102594		2391.3056061794
-685.3533764485        6.4630102594		2383.4614014885
-685.4288118336        6.4630102594		2376.0988631938
-685.5010829800        6.4630102594		2368.7604013783
-685.5248460404        6.4630102594		2363.7674330903
-685.5178014542        6.4630102594		2359.8360733541
-685.5696979995        6.4630102594		2351.1224148585
-685.7341276635        6.4630102594		2335.0024253191
-685.8623192673        6.4630102594		2322.4937678278
-685.8890889667        6.4630102594		2319.0473030837
-685.8219250432        6.4630102594		2325.9715146344
-685.7438159493        6.4630102594		2336.2372789912
-685.6768104539        6.4630102594		2344.5496426833
-685.7622372364        6.4630102594		2338.9990676937
-685.8757873988        6.4630102594		2329.4225268707
