Potential energy (Ha)  Kinetic Energy (Ha)	Pressure (GPa)
-627.1549966268        6.4630102594		42445.7588489134
-627.1353651289        6.4630102594		42433.4035265446
-626.8634803713        6.4630102594		42519.4861573463
-626.8957048108        6.4630102594		42502.4532160702
-626.8932870631        6.4630102594		42474.5580206061
-626.8095063134        6.4630102594		42477.3557818273
-626.8655476262        6.4630102594		42455.1809907790
-626.9142989965        6.4630102594		42472.6005863785
-626.6851934393        6.4630102594		42575.1631609116
-626.4779253006        6.4630102594		42636.4804044757
-626.5471339190        6.4630102594		42613.6158806790
-626.5670925619        6.4630102594		42611.8141850824
-626.4610433229        6.4630102594		42640.8982447362
-626.3766193384        6.4630102594		42643.9174335220
-626.5771139913        6.4630102594		42555.6834535339
-626.8427212359        6.4630102594		42456.8772483840
-626.9612055044        6.4630102594		42408.0120890262
-627.0083328509        6.4630102594		42407.6292485770
-626.6860645570        6.4630102594		42530.3787933844
-626.3212735807        6.4630102594		42678.9287894643
-626.1497494515        6.4630102594		42751.3391233686
-626.3869164302        6.4630102594		42675.8908986436
-626.6685638639        6.4630102594		42562.9826349734
-626.9794253651        6.4630102594		42489.2760242869
-626.5866886397        6.4630102594		42625.4301513666
-626.3591728843        6.4630102594		42716.2866829685
-626.5351248285        6.4630102594		42647.5801952507
-626.9788752288        6.4630102594		42481.6938188949
-627.4004004303        6.4630102594		42344.8728489268
-627.4023318389        6.4630102594		42357.9420067005
-627.1696533265        6.4630102594		42443.9097888169
-627.1071690843        6.4630102594		42482.7057436622
-627.0013103516        6.4630102594		42524.2251422703
-626.8098027418        6.4630102594		42580.4595054480
-626.6112363531        6.4630102594		42606.7757115121
-627.0290132864        6.4630102594		42437.5075727361
-627.3578764194        6.4630102594		42299.3030198354
-627.0886544604        6.4630102594		42375.8623069253
-626.8380460822        6.4630102594		42447.3364860406
-627.2539934514        6.4630102594		42303.7046864156
-627.5405463870        6.4630102594		42218.5411116326
-627.4771074957        6.4630102594		42275.7571915279
-627.1864925900        6.4630102594		42410.3075874090
-626.9643624492        6.4630102594		42505.0219282658
-626.8228260114        6.4630102594		42546.6123278449
-626.8082928350        6.4630102594		42518.7515753280
-627.2676001503        6.4630102594		42371.5273530479
-627.3221900264        6.4630102594		42332.7118635938
-627.2297347314        6.4630102594		42337.8588185454
-627.0727520140        6.4630102594		42372.3211910935
-626.9111540063        6.4630102594		42424.6982518287
-626.9711292087        6.4630102594		42417.2703664270
-627.0905613041        6.4630102594		42367.3508847556
-627.0146681814        6.4630102594		42376.1798044490
-626.8845646075        6.4630102594		42445.0104529033
-626.7057993540        6.4630102594		42519.0034009070
-626.6990799315        6.4630102594		42525.8314523837
-626.6221563897        6.4630102594		42531.0423642205
-626.9340529736        6.4630102594		42421.5332413210
-627.3818481874        6.4630102594		42291.0300989678
-627.4452644686        6.4630102594		42277.9284386438
-626.9879668501        6.4630102594		42400.2025927910
-626.7920795667        6.4630102594		42502.3837344550
-626.6787001582        6.4630102594		42576.5001967607
-626.6133293282        6.4630102594		42586.2035669582
-626.2938364213        6.4630102594		42660.8620521722
-626.4306235832        6.4630102594		42636.7082380608
-626.5252441423        6.4630102594		42590.8227044677
-626.5212742516        6.4630102594		42583.0969663026
-626.8015066658        6.4630102594		42520.3302240323
-627.0422601341        6.4630102594		42446.7505327115
-627.0205119954        6.4630102594		42435.6790580077
-626.9208089789        6.4630102594		42449.0114182113
-626.9261976903        6.4630102594		42437.3374436198
-627.2814697195        6.4630102594		42349.3815079173
-627.3803585675        6.4630102594		42308.4756988141
-627.3165399183        6.4630102594		42310.0050633041
-627.1126095228        6.4630102594		42368.9214789826
-627.1565623576        6.4630102594		42350.7989921546
-627.2112110103        6.4630102594		42307.8163650889
-627.2478891923        6.4630102594		42313.5182770247
-626.8350149569        6.4630102594		42466.1315742667
-626.5960981649        6.4630102594		42574.5427628460
-626.5818725364        6.4630102594		42612.3127538464
-626.6104891211        6.4630102594		42630.0205478527
-626.5822685112        6.4630102594		42639.0078299017
-626.5944201285        6.4630102594		42621.3659885824
-626.5907083221        6.4630102594		42623.4140343364
-626.5213465559        6.4630102594		42639.6548573592
-626.7604062105        6.4630102594		42555.7837699587
-626.8850559745        6.4630102594		42488.5169034142
-626.9395355582        6.4630102594		42451.0040971813
-626.8443385923        6.4630102594		42440.2291634535
-626.8709212848        6.4630102594		42393.8936752041
-627.2110835247        6.4630102594		42276.4703206979
-627.1485645892        6.4630102594		42293.8956377887
-626.7274159789        6.4630102594		42452.7143451549
-626.5202948038        6.4630102594		42560.6029998353
-626.4506108424        6.4630102594		42587.7367133657
-626.5500951566        6.4630102594		42544.7176592103
-626.5042994816        6.4630102594		42543.1106963814
-626.6282448086        6.4630102594		42509.8215272685
-626.8455619834        6.4630102594		42446.4311223153
-626.8791799068        6.4630102594		42418.4696253362
-626.9746619933        6.4630102594		42384.5981849717
-627.0983331734        6.4630102594		42340.6160492022
-627.1951975048        6.4630102594		42296.0637412010
-627.2164809502        6.4630102594		42292.6103113505
-627.2123329479        6.4630102594		42325.1437655677
-627.1920326393        6.4630102594		42380.7926003899
-627.0124875713        6.4630102594		42461.8386619045
-626.7990526495        6.4630102594		42519.5101643571
-627.0048938329        6.4630102594		42464.8806272586
-626.9925538127        6.4630102594		42446.7675074705
-627.0551740883        6.4630102594		42416.2840018462
-627.1861589620        6.4630102594		42376.0243430099
-627.1733245449        6.4630102594		42360.4342850004
-627.3189454744        6.4630102594		42280.1834912339
-627.4139018324        6.4630102594		42213.4598993508
-627.4880631018        6.4630102594		42213.5345528942
-627.3056992839        6.4630102594		42318.9298410887
-627.1255700951        6.4630102594		42412.5517796139
-627.0163550088        6.4630102594		42469.2350839524
-626.8363980211        6.4630102594		42546.0780516396
-626.6365101489        6.4630102594		42614.4658678083
-626.6676282260        6.4630102594		42614.7989488286
-626.6032066690        6.4630102594		42626.0723745667
-626.5631878464        6.4630102594		42628.7133427891
-626.6298325651        6.4630102594		42587.6347520895
-626.7669190301        6.4630102594		42518.3049417469
-626.8841041272        6.4630102594		42471.2609641369
-626.7059715631        6.4630102594		42530.0118174189
-626.7409204332        6.4630102594		42552.2553921855
-626.6191132618        6.4630102594		42596.7348925215
-626.5798977961        6.4630102594		42602.0383574038
-626.7194606204        6.4630102594		42563.2929561787
-626.6674523744        6.4630102594		42576.9297378308
-626.9757948219        6.4630102594		42509.0615182905
-627.1748485765        6.4630102594		42421.0318158475
-627.3776143254        6.4630102594		42327.7052059198
-627.0950746249        6.4630102594		42372.3663467641
-627.0625424830        6.4630102594		42408.5307753228
-626.8835687836        6.4630102594		42497.9313556876
-626.5692677593        6.4630102594		42620.1351825317
-626.3618125375        6.4630102594		42710.0308294830
-626.3454104006        6.4630102594		42746.9828418219
-626.4687187815        6.4630102594		42726.6989053963
-626.8598336360        6.4630102594		42609.4234387690
-627.0001163283        6.4630102594		42557.4749301488
-626.6799282050        6.4630102594		42651.1580372874
-626.3481905454        6.4630102594		42734.2258330083
-626.1246885221        6.4630102594		42767.0999499120
-626.3075862123        6.4630102594		42713.8393352214
-626.4635459715        6.4630102594		42665.6525521066
-626.6889036007        6.4630102594		42596.5074493229
-626.9116754993        6.4630102594		42525.8086897982
-627.0679129870        6.4630102594		42453.5129311570
-627.2015477203        6.4630102594		42403.3951180547
-627.2982586504        6.4630102594		42391.0722624283
-627.2739185868        6.4630102594		42398.8968390671
-627.2627262106        6.4630102594		42374.8453530079
-627.3154202247        6.4630102594		42350.5907463040
-627.0580825718        6.4630102594		42435.3475149698
-626.8615951352        6.4630102594		42549.3284721958
-626.5543063746        6.4630102594		42681.1358936207
-626.6290244191        6.4630102594		42672.0385575924
-626.7811827050        6.4630102594		42616.2251757940
-626.8879654598        6.4630102594		42570.7244605821
-626.8812119068        6.4630102594		42527.5223195787
-626.9057381108        6.4630102594		42466.3745781210
-626.9713346598        6.4630102594		42400.9033267942
-627.0982419202        6.4630102594		42347.0250933945
-627.1386433685        6.4630102594		42341.1908703047
-627.0170266387        6.4630102594		42401.2058819843
-626.7077004744        6.4630102594		42533.1080535469
-626.8170224293        6.4630102594		42553.6285929153
-626.8732698788        6.4630102594		42550.0103319840
-626.8982911010        6.4630102594		42531.6005501543
-626.9749859862        6.4630102594		42494.7046478620
-626.9844676728        6.4630102594		42475.9226694794
-626.8491939203        6.4630102594		42515.3671547341
-626.5719577474        6.4630102594		42618.6092175403
-626.5836311823        6.4630102594		42618.4381509294
-626.5862466422        6.4630102594		42590.1918276399
-626.7590553918        6.4630102594		42535.2857354849
-626.6334678830        6.4630102594		42542.5515591309
-626.8101222164        6.4630102594		42487.8542634459
-626.8888943817        6.4630102594		42455.1208376774
-627.0192152370        6.4630102594		42390.6276696810
-627.2609427251        6.4630102594		42286.6914308342
-627.1241558628        6.4630102594		42313.0413015028
-626.8682345001        6.4630102594		42407.1974179124
-626.6945534529        6.4630102594		42464.4520304379
-626.7340996344        6.4630102594		42436.3148435494
-627.0241755558        6.4630102594		42336.4503744159
-627.1338224555        6.4630102594		42328.0798105141
-626.9823538788        6.4630102594		42425.6868433122
-626.5744029861        6.4630102594		42577.9165934695
-626.2918787795        6.4630102594		42645.7622031358
-626.3314711437        6.4630102594		42603.1298039608
-626.1295892009        6.4630102594		42604.5676687911
-626.7329561337        6.4630102594		42520.4118147612
-626.3106227069        6.4630102594		42657.8646340729
-627.0797318292        6.4630102594		42449.3294106423
-627.3016546169        6.4630102594		42344.5386493876
-627.3626325848        6.4630102594		42274.8875930287
-627.4070673651        6.4630102594		42224.6365934423
-627.2559695011        6.4630102594		42272.2798182275
-627.3777059757        6.4630102594		42238.3275125786
-627.4690490620        6.4630102594		42209.3188332704
-627.6445831378        6.4630102594		42128.3713530565
-627.5984323818        6.4630102594		42144.8611955611
-627.0124301448        6.4630102594		42338.9584327512
-627.0786545457        6.4630102594		42319.8407966461
-626.8871560357        6.4630102594		42394.4987458645
-626.6644354298        6.4630102594		42453.3332719849
-626.8839688375        6.4630102594		42405.6042584769
-626.7598690029        6.4630102594		42457.8946910481
-626.8597469074        6.4630102594		42433.5411338829
-627.0310742887        6.4630102594		42390.6293192156
-627.0591023257        6.4630102594		42392.8769807954
-626.9164996371        6.4630102594		42438.9548306652
-626.8027759110        6.4630102594		42461.5680652339
-626.8088195139        6.4630102594		42435.4372431517
-626.9236451017        6.4630102594		42389.2099642776
-626.9229009615        6.4630102594		42404.8099169672
-626.9015136536        6.4630102594		42441.7558553849
-627.0495933292        6.4630102594		42408.1434517762
-626.9267465908        6.4630102594		42441.8406181862
-626.7861038643        6.4630102594		42479.3347198172
-627.1048937956        6.4630102594		42387.8777606581
-627.1491029309        6.4630102594		42385.5663738934
-626.6963674731        6.4630102594		42535.8543227588
-626.3971642542        6.4630102594		42617.0432442017
-626.7913575966        6.4630102594		42480.6342730596
-626.9458919104        6.4630102594		42429.6826329988
-626.8712656876        6.4630102594		42471.3806471079
-626.9740920781        6.4630102594		42438.0733205150
-627.1128841545        6.4630102594		42382.2359588512
-627.0925890785        6.4630102594		42385.0716290023
-626.9592033093        6.4630102594		42437.0454852915
-627.0145434059        6.4630102594		42415.0358230510
-627.1946630776        6.4630102594		42334.5177416563
-627.1715416297        6.4630102594		42339.5177340914
-627.2126239795        6.4630102594		42355.1630320482
-627.1382988044        6.4630102594		42408.6361169789
-626.9570799639        6.4630102594		42476.3982620413
-626.9874368166        6.4630102594		42457.8209050658
-627.1475980974        6.4630102594		42404.5571073629
-627.1146206806        6.4630102594		42401.5035420772
-627.1202967131        6.4630102594		42394.7102986773
-626.8336043236        6.4630102594		42466.3431887311
-626.8261146783        6.4630102594		42494.5586964081
-626.8179529963        6.4630102594		42526.5679468805
-626.8690516932        6.4630102594		42525.2279403054
-626.9018949842        6.4630102594		42527.4254659733
-626.6835703670        6.4630102594		42613.7863663510
-626.3175855267        6.4630102594		42734.4372077709
-626.2105144126        6.4630102594		42757.5903490987
-626.4136103963        6.4630102594		42663.2678611054
-626.5608650239        6.4630102594		42569.9537802315
-626.7388899468        6.4630102594		42477.2660361460
-627.1287849092        6.4630102594		42368.4709452761
-627.0936523429        6.4630102594		42398.0963740004
-626.9296308577        6.4630102594		42474.8847538848
-626.6825738342        6.4630102594		42551.6410511154
-626.5260366052        6.4630102594		42605.7008309507
-626.4918582917        6.4630102594		42620.6875352491
-626.4130925700        6.4630102594		42633.0221642012
-626.5466030298        6.4630102594		42599.0439488020
-626.5900347432        6.4630102594		42617.8133902304
-626.4940404384        6.4630102594		42664.1972637316
-626.5322424422        6.4630102594		42629.3291806116
-626.6925832149        6.4630102594		42533.1474877964
-626.7187497060        6.4630102594		42490.8419149125
-626.6000404088        6.4630102594		42537.3683152174
-626.6895263971        6.4630102594		42547.9962532165
-626.8198814427        6.4630102594		42512.2439631334
-626.9937974592        6.4630102594		42455.2195715606
-626.9789216776        6.4630102594		42469.1188442479
-626.7511607791        6.4630102594		42562.2844183184
-626.5897100198        6.4630102594		42610.5561500106
-626.8745234725        6.4630102594		42504.6307834940
-627.0739511077        6.4630102594		42423.3573312503
-627.0653178714        6.4630102594		42411.4283637472
-626.6189395145        6.4630102594		42535.3741967028
-626.6715748154        6.4630102594		42548.7494138375
-626.9753248405        6.4630102594		42468.5482564129
-627.1711002802        6.4630102594		42410.1524402222
-627.0295169684        6.4630102594		42430.1541157260
-627.1396188329        6.4630102594		42394.1639324653
-626.8758657048        6.4630102594		42440.2507605418
-626.9292820996        6.4630102594		42424.4974413576
-626.9609082931        6.4630102594		42427.7039401360
-626.9900414973        6.4630102594		42431.4384131830
-627.0723656745        6.4630102594		42389.3183948216
-626.9643594143        6.4630102594		42388.5012981070
-626.9784266525        6.4630102594		42402.7805773090
-626.8357163252        6.4630102594		42472.5101843962
-627.0531021855        6.4630102594		42435.8967822879
-627.2822853733        6.4630102594		42365.0072852829
-627.3194526900        6.4630102594		42360.2353260850
-627.3845770113        6.4630102594		42353.6650326335
-627.4595520691        6.4630102594		42328.3390786248
-627.4443144207        6.4630102594		42337.7938042893
-627.1956706828        6.4630102594		42408.4155301462
-626.9700073735        6.4630102594		42474.9916400047
-626.6713328937        6.4630102594		42580.0857066318
-626.4787729732        6.4630102594		42652.8007608095
-626.6319524929        6.4630102594		42588.4850327895
-626.8402058631        6.4630102594		42488.2900207764
-626.9330194283        6.4630102594		42432.9595654955
-626.9427767383        6.4630102594		42420.8466958519
-626.8725942028        6.4630102594		42442.4904653183
-626.9491600687        6.4630102594		42428.4947250944
-627.0633849667        6.4630102594		42412.2342603804
-626.9274034432        6.4630102594		42459.7551018853
-626.8101874928        6.4630102594		42505.5054227810
-626.6676011706        6.4630102594		42548.1864697560
-626.5658429963        6.4630102594		42576.7704499702
-626.5350147856        6.4630102594		42587.4632401974
-626.6679315958        6.4630102594		42545.8409439809
-626.7594636044        6.4630102594		42514.5015125134
-626.8314677242        6.4630102594		42488.7568546231
-626.9728694708        6.4630102594		42431.0698501550
-626.9367233993        6.4630102594		42411.6517526975
-627.1030365205        6.4630102594		42364.7413269398
-627.0665012665        6.4630102594		42369.8159396827
-627.1404314169        6.4630102594		42346.4559387192
-627.2042740828        6.4630102594		42332.3610549609
-627.3044215760        6.4630102594		42308.3855643143
-627.4019210559        6.4630102594		42261.7287204361
-627.4512781571        6.4630102594		42218.0742170164
-627.0716345857        6.4630102594		42320.1209507708
-626.7247857484        6.4630102594		42472.0161036653
-626.5100281814        6.4630102594		42576.1663327420
-626.4958946937        6.4630102594		42574.7842445785
-626.7914634231        6.4630102594		42520.6894313061
-626.2322576505        6.4630102594		42730.7468718894
-626.3869029197        6.4630102594		42715.5834939198
-626.3510945364        6.4630102594		42722.0268868338
-626.4769201879        6.4630102594		42644.0734392757
-626.7973319673        6.4630102594		42515.1805791274
-627.0148253218        6.4630102594		42415.7298645137
-626.7532982163        6.4630102594		42461.7457353896
-626.6577516374        6.4630102594		42517.9206412863
-626.4813398793        6.4630102594		42574.3336719704
-626.8749029531        6.4630102594		42452.0901887560
-626.9003425558        6.4630102594		42450.9895064587
-626.8135119813        6.4630102594		42493.0562327290
-626.7377912500        6.4630102594		42526.2645933097
-626.7859631460        6.4630102594		42515.1394662726
-627.0326367832        6.4630102594		42421.0173662101
-627.2510829520        6.4630102594		42329.6963959544
-627.0559393743        6.4630102594		42356.1635214991
-627.0808263928        6.4630102594		42329.1869005319
-627.2558791800        6.4630102594		42249.3739489542
-627.1308112737        6.4630102594		42280.3422072928
-626.9169809641        6.4630102594		42362.4258748211
-626.9173268777        6.4630102594		42393.6785678519
-626.9852394296        6.4630102594		42402.6578252094
-626.8718467055        6.4630102594		42434.1504533876
-627.0437752760        6.4630102594		42399.1688060017
-627.0932267564        6.4630102594		42386.6049265889
-626.9892905801        6.4630102594		42408.3249390824
-626.7365135933        6.4630102594		42482.5991961813
-626.7625107183        6.4630102594		42476.0900423006
-626.9102875507        6.4630102594		42442.2019570727
-626.8168104435        6.4630102594		42500.2692806322
-626.6142121038        6.4630102594		42556.9741248628
-626.6796750064        6.4630102594		42527.1006915836
-626.7064729369        6.4630102594		42518.5202615112
-626.5802544654        6.4630102594		42558.6048164206
-626.7272671303        6.4630102594		42534.4239091347
-626.8512191129        6.4630102594		42523.7180862638
-626.9362921058        6.4630102594		42490.5603117605
-627.0578956995        6.4630102594		42406.7909420558
-627.2089323564        6.4630102594		42325.8775749525
-627.1094051976        6.4630102594		42363.9573619875
-626.7943678902        6.4630102594		42503.1460481618
-626.6911428664        6.4630102594		42552.9366692665
-626.9276310752        6.4630102594		42455.9782992665
-627.1035753132        6.4630102594		42360.6706410949
-627.3143170562        6.4630102594		42300.1622403521
-627.1622485372        6.4630102594		42373.2242210437
-626.6591419424        6.4630102594		42499.0495205797
-626.8878597597        6.4630102594		42422.6955750568
-626.9864535316        6.4630102594		42384.6429503762
-626.9145514527        6.4630102594		42435.0532358114
-626.8840672195        6.4630102594		42473.3523519796
-627.0046769847        6.4630102594		42421.8858562675
-626.9697108621        6.4630102594		42404.8497846324
-626.8312939124        6.4630102594		42433.5186239029
-626.6982141595        6.4630102594		42441.1481224084
-627.0527603172        6.4630102594		42351.2952405494
-626.9145224630        6.4630102594		42399.5640855421
-626.7763348689        6.4630102594		42475.5486184784
-626.8532126825        6.4630102594		42474.1049799189
-626.9711501926        6.4630102594		42465.6128931175
-627.1106389042        6.4630102594		42409.0467503730
-627.4040190761        6.4630102594		42283.8035673307
-627.1620703065        6.4630102594		42348.8664445377
-626.9899731085        6.4630102594		42408.5339202095
-627.1702353197        6.4630102594		42348.4782303213
-627.0499247931        6.4630102594		42392.8585937294
-627.0396405031        6.4630102594		42396.9979587511
-627.2504446517        6.4630102594		42334.8694548309
-627.2599364356        6.4630102594		42347.9127826406
-627.0324147004        6.4630102594		42445.8644522337
-626.7186354956        6.4630102594		42563.4486654262
-626.4838498792        6.4630102594		42610.7541233618
-626.5023935109        6.4630102594		42580.1726818923
-626.5195510144        6.4630102594		42591.1328508518
-626.6146286209        6.4630102594		42566.2785323156
-626.8573820427        6.4630102594		42464.5185461285
-626.8470257835        6.4630102594		42449.4701761192
-626.7041932681        6.4630102594		42513.7677468562
-626.7354113275        6.4630102594		42509.6261301236
-626.9629085840        6.4630102594		42439.3157403695
-626.9126058562        6.4630102594		42442.9531061854
-626.9154075825        6.4630102594		42471.3754600190
-626.3201133420        6.4630102594		42644.3903478558
-626.6377239132        6.4630102594		42551.2789019183
-626.7734186786        6.4630102594		42513.0875703552
-626.5524656208        6.4630102594		42593.3954096255
-626.6385484455        6.4630102594		42583.9786417426
-626.8573778397        6.4630102594		42533.1687825525
-626.8893389887        6.4630102594		42519.4280949242
-626.8948993817        6.4630102594		42527.0833037255
-626.7279049579        6.4630102594		42611.8951998889
-626.4998180559        6.4630102594		42681.8352165176
-626.5303583189        6.4630102594		42643.0996546884
-626.6027942271        6.4630102594		42608.6960154590
-626.6993119787        6.4630102594		42573.0216971621
-626.5569327688        6.4630102594		42598.1932950339
-626.3767664438        6.4630102594		42659.6053336465
-626.2952802396        6.4630102594		42683.1733622018
-626.3872027499        6.4630102594		42666.4736795572
-626.7481898516        6.4630102594		42540.8470973811
-627.1722136402        6.4630102594		42372.0426794822
-627.3497882955        6.4630102594		42311.6655110300
-627.0368778540        6.4630102594		42415.8051815339
-626.7485818680        6.4630102594		42503.2415555235
-626.5996408866        6.4630102594		42538.9725558047
-626.6238404891        6.4630102594		42563.5593109599
-626.5652376222        6.4630102594		42597.6021641779
-626.7065833696        6.4630102594		42553.4093855790
-626.8555194186        6.4630102594		42491.2801257077
-626.7853177025        6.4630102594		42507.7564053856
-626.7828002300        6.4630102594		42494.5518208951
-626.8918813046        6.4630102594		42458.8723505903
-626.8037872557        6.4630102594		42501.5628181203
-626.5219594676        6.4630102594		42592.7323918979
-626.5170951449        6.4630102594		42580.7936066121
-626.7510217237        6.4630102594		42514.1750543069
-626.7029393322        6.4630102594		42548.7514168695
-626.6177495531        6.4630102594		42608.5146708238
-626.4393357386        6.4630102594		42688.1705519297
-626.2734241843        6.4630102594		42769.5076520636
-626.4434566562        6.4630102594		42725.1619813256
-626.8004186227        6.4630102594		42581.2993968005
-627.0438352463        6.4630102594		42471.8839368356
-627.2773572101        6.4630102594		42381.0755200815
-627.2163298422        6.4630102594		42381.2635734171
-627.1129387910        6.4630102594		42431.3271299078
-626.7918904779        6.4630102594		42525.4393617058
-626.7866851395        6.4630102594		42534.0553391801
-626.9228324630        6.4630102594		42498.8332579892
-626.8971639181        6.4630102594		42508.5440637244
-626.8559690682        6.4630102594		42547.3760300915
-626.9286659284        6.4630102594		42535.0511848475
-627.1038152335        6.4630102594		42461.0211566860
-627.1965585995        6.4630102594		42391.3211203424
-626.9768067940        6.4630102594		42445.9632769366
-626.8100554755        6.4630102594		42489.7802305721
-626.8236911441        6.4630102594		42449.9595519733
-626.6245557262        6.4630102594		42482.7147202880
-626.7894291663        6.4630102594		42448.1349625464
-627.1971813523        6.4630102594		42312.8167085374
-627.3133498293        6.4630102594		42277.6572989127
-627.0924833511        6.4630102594		42376.6638709755
-626.9994423158        6.4630102594		42461.2216798409
-626.8557395264        6.4630102594		42540.9641351730
-626.5244010512        6.4630102594		42643.7700919219
-626.4447956933        6.4630102594		42684.8809096211
-626.3384609025        6.4630102594		42712.7822092421
-626.4978099759        6.4630102594		42640.7092028273
-626.7836466522        6.4630102594		42518.0112553095
-627.0014702346        6.4630102594		42425.7081741068
-627.0676680574        6.4630102594		42392.2240141942
-627.0175237497        6.4630102594		42409.9566495357
-627.0055712726        6.4630102594		42425.1681613795
-627.0155118797        6.4630102594		42414.1362553696
-627.3858426519        6.4630102594		42315.1371087785
-627.2486124931        6.4630102594		42363.1534089863
-627.0651987286        6.4630102594		42448.5697885613
-626.9693928355        6.4630102594		42472.8417144771
-627.1501213267        6.4630102594		42384.3287866224
-627.2276929383        6.4630102594		42353.9476876156
-626.9863221783        6.4630102594		42443.3715983727
-626.8336832819        6.4630102594		42499.7343892984
-626.6947990707        6.4630102594		42507.1368886017
-626.7709711016        6.4630102594		42427.4894074556
-627.0057581140        6.4630102594		42319.9274892964
-626.9510228431        6.4630102594		42345.8158862352
-626.8056388820        6.4630102594		42417.8522760354
-626.7555958658        6.4630102594		42454.5126229667
-626.7926871423        6.4630102594		42426.4340272935
-627.1405262804        6.4630102594		42300.7266761510
-627.2615572743        6.4630102594		42260.8558354486
-626.9532319629        6.4630102594		42377.5985595954
-627.0498177182        6.4630102594		42400.5854541749
-627.1054556844        6.4630102594		42389.0056857745
-627.1748031924        6.4630102594		42388.1221792827
-626.9464403638        6.4630102594		42475.1371243122
-626.5284636010        6.4630102594		42604.7687625660
-626.3185883635        6.4630102594		42662.7497433254
-626.3463511074        6.4630102594		42656.4858489383
-626.3742358958        6.4630102594		42658.5753634990
-626.3538219332        6.4630102594		42666.8020399066
-626.6083475421        6.4630102594		42599.7058536224
-626.8256253653        6.4630102594		42553.5869198646
-626.8802845689        6.4630102594		42550.9023015838
-626.9160637685        6.4630102594		42527.2861656189
-626.9890230070        6.4630102594		42470.5713884176
-626.9385992391        6.4630102594		42464.3325137085
-627.1305173882        6.4630102594		42411.9726025246
-627.0918490044        6.4630102594		42422.6102239053
-626.9192825762        6.4630102594		42496.0011820006
-626.7807966667        6.4630102594		42567.4205727818
-627.0463435098        6.4630102594		42498.3675658567
-627.0929763153        6.4630102594		42485.7631782045
-626.6374828554        6.4630102594		42590.6500973418
-626.7926622139        6.4630102594		42571.2346029837
-626.9961693432        6.4630102594		42524.6650364344
-627.0491824116        6.4630102594		42519.3142274480
-627.1975714636        6.4630102594		42432.2188973211
-627.4261889914        6.4630102594		42310.0625483219
