Potential energy (Ha)  Kinetic Energy (Ha)	Pressure (GPa)
-640.7481875764        6.4630102594		29557.0582433919
-640.6585211196        6.4630102594		29585.6546265719
-640.6941880284        6.4630102594		29570.3107599935
-640.6473297577        6.4630102594		29567.4810331429
-640.5674197480        6.4630102594		29583.8396974207
-640.5691057099        6.4630102594		29601.1242835489
-640.5983267567        6.4630102594		29588.7514376322
-640.6434658370        6.4630102594		29575.3076096912
-640.4610567067        6.4630102594		29635.5684562842
-640.2627318425        6.4630102594		29688.8853675810
-640.5004259317        6.4630102594		29639.8492707620
-640.6498495184        6.4630102594		29602.4394130562
-640.6710445002        6.4630102594		29589.0751370136
-640.6158528241        6.4630102594		29595.0088075354
-640.4029062026        6.4630102594		29618.2242946708
-640.6673525970        6.4630102594		29532.2124819625
-640.8807573853        6.4630102594		29457.3584947590
-640.9539663735        6.4630102594		29413.8975475674
-640.9480739718        6.4630102594		29404.5382760439
-640.8774914651        6.4630102594		29460.2308395498
-640.6912725314        6.4630102594		29541.3621432634
-640.6670090192        6.4630102594		29559.9153331058
-640.8294711527        6.4630102594		29519.5128410406
-640.9053410278        6.4630102594		29495.4045231639
-640.8951973106        6.4630102594		29509.6473536686
-640.7405704163        6.4630102594		29568.1477036972
-640.6350149829        6.4630102594		29607.4435162074
-640.6090021507        6.4630102594		29607.6315923645
-640.3992773085        6.4630102594		29615.1386098100
-640.8072586856        6.4630102594		29525.8643235257
-640.6459054708        6.4630102594		29560.8851314874
-640.5256420894        6.4630102594		29591.8310536701
-640.5239208438        6.4630102594		29611.8007647473
-640.3321055112        6.4630102594		29701.6939389286
-639.9814558952        6.4630102594		29816.0668852337
-639.9797059055        6.4630102594		29810.6546566733
-640.1086563014        6.4630102594		29765.7769169920
-640.2397899424        6.4630102594		29731.5040309486
-640.2385246058        6.4630102594		29719.6964652886
-640.3803622379        6.4630102594		29672.8694334957
-640.3973487175        6.4630102594		29659.2201197430
-640.4734908286        6.4630102594		29641.3180290711
-640.5300061263        6.4630102594		29642.1954122074
-640.3725513569        6.4630102594		29709.6101734987
-640.0619845521        6.4630102594		29818.1636192508
-639.8002160669        6.4630102594		29895.6284364242
-639.5896120135        6.4630102594		29937.2840166707
-639.9166490449        6.4630102594		29839.2834875495
-639.9712414345        6.4630102594		29792.8773121608
-639.8169792445        6.4630102594		29796.9117820591
-640.2767535057        6.4630102594		29647.3479543591
-640.6659087738        6.4630102594		29530.2597806310
-640.5030176621        6.4630102594		29572.4581864645
-640.3887601168        6.4630102594		29616.3379251443
-640.3328408752        6.4630102594		29644.3636445693
-640.2196589699        6.4630102594		29699.5539905154
-639.8891524469        6.4630102594		29814.5374142107
-639.5191472992        6.4630102594		29934.8998345853
-639.8168797064        6.4630102594		29857.8989154156
-640.3168213680        6.4630102594		29705.9982687350
-640.4232944022        6.4630102594		29674.7751018138
-640.1332881600        6.4630102594		29770.8942538156
-639.8251238823        6.4630102594		29870.5824508435
-639.9392994561        6.4630102594		29833.1020691005
-640.2136323915        6.4630102594		29735.8471308198
-640.2006865992        6.4630102594		29712.4142013290
-640.2976469519        6.4630102594		29698.9480022192
-640.2659122837        6.4630102594		29715.8262544370
-640.4297230024        6.4630102594		29664.0395864447
-640.5539297362        6.4630102594		29607.3801375908
-640.5582642004        6.4630102594		29591.7836640672
-640.3891389474        6.4630102594		29614.4901981455
-640.5684410953        6.4630102594		29570.4705758271
-640.6147194366        6.4630102594		29557.7187060698
-640.4434604704        6.4630102594		29593.7338131757
-640.3316836771        6.4630102594		29609.9098874174
-640.3296819079        6.4630102594		29599.8905348169
-640.1319743636        6.4630102594		29627.8474619033
-640.2024883696        6.4630102594		29611.9834364336
-640.1418978739        6.4630102594		29649.4238723206
-639.9889478826        6.4630102594		29726.4132489015
-639.9051462177        6.4630102594		29767.2642277805
-639.9569048522        6.4630102594		29765.3827603549
-640.3133224620        6.4630102594		29714.3647789757
-640.3137158855        6.4630102594		29752.0575973435
-639.9345849259        6.4630102594		29878.7008597774
-639.6598537368        6.4630102594		29952.5092046331
-639.7187975170        6.4630102594		29901.4106286778
-640.0067279565        6.4630102594		29806.9075774984
-640.1113090661        6.4630102594		29770.8505386743
-640.2285763586        6.4630102594		29746.5384213461
-640.2746172863        6.4630102594		29736.0184293380
-640.3156925244        6.4630102594		29710.6264859072
-640.5215738988        6.4630102594		29652.8957777465
-640.5337766559        6.4630102594		29646.2383091646
-640.6340449859        6.4630102594		29634.8511260159
-640.6939089341        6.4630102594		29621.1620255479
-640.5504819756        6.4630102594		29645.1787870310
-640.5354526565        6.4630102594		29633.8682388190
-640.7155099509        6.4630102594		29573.5357311381
-640.7651940112        6.4630102594		29547.1414824200
-640.6521606305        6.4630102594		29563.4227069155
-640.5776658663        6.4630102594		29571.0708920128
-640.6222443545        6.4630102594		29557.4134136571
-640.6175004877        6.4630102594		29571.0306846323
-640.6466437256        6.4630102594		29578.9151850904
-640.6134405377        6.4630102594		29607.1370501623
-640.2603352237        6.4630102594		29724.2153865075
-640.0221278810        6.4630102594		29808.8243265740
-640.0139474713        6.4630102594		29808.4723662730
-640.0082695714        6.4630102594		29800.8653110404
-639.9355339188        6.4630102594		29812.5918237110
-639.9091738467        6.4630102594		29814.0007414241
-640.0978905097        6.4630102594		29767.5517863178
-640.1966325351        6.4630102594		29736.5132123802
-640.2528877664        6.4630102594		29710.0741448416
-640.3646253026        6.4630102594		29671.3932286409
-640.4281606856        6.4630102594		29661.9991533522
-640.3065993939        6.4630102594		29705.2111029681
-640.2763917952        6.4630102594		29727.2555994899
-640.3742503507        6.4630102594		29691.6088101012
-640.3843274589        6.4630102594		29657.0406537002
-640.3856403925        6.4630102594		29612.6782751579
-640.4227526972        6.4630102594		29573.8972256408
-640.4092819829        6.4630102594		29570.0444841183
-640.5368677274        6.4630102594		29529.6192774636
-640.7865911605        6.4630102594		29456.5904329919
-640.9212230325        6.4630102594		29424.0342655274
-640.8228680927        6.4630102594		29470.1995264834
-640.6492623393        6.4630102594		29542.3416845276
-640.5096806188        6.4630102594		29597.0605241634
-640.4134445163        6.4630102594		29637.4030037075
-640.4170816562        6.4630102594		29650.5474307102
-640.2774647916        6.4630102594		29684.8508359046
-640.2005560401        6.4630102594		29698.0881223120
-640.3063225720        6.4630102594		29668.0151937600
-640.5010452871        6.4630102594		29627.8409646103
-640.5522481833        6.4630102594		29620.9834987834
-640.5305181536        6.4630102594		29630.4797330292
-640.4371155542        6.4630102594		29646.3146837257
-640.3730800196        6.4630102594		29645.4267493158
-640.5751620826        6.4630102594		29573.3449280233
-640.8609663594        6.4630102594		29463.2395181459
-640.9516061119        6.4630102594		29405.2045265435
-640.8529754683        6.4630102594		29426.4104780686
-640.7392123261        6.4630102594		29475.8645077426
-640.7067382292        6.4630102594		29528.7359064737
-640.4501852387        6.4630102594		29636.3461887091
-640.1645133581        6.4630102594		29733.2056969989
-639.9742699671        6.4630102594		29780.4082347778
-640.0037390017        6.4630102594		29750.7770722034
-639.9541036989        6.4630102594		29717.5933231160
-640.3687295248        6.4630102594		29609.3023783142
-640.6362535282        6.4630102594		29525.1096016424
-640.6786235624        6.4630102594		29501.1940535194
-640.4699170420        6.4630102594		29568.8896365434
-640.1885380870        6.4630102594		29688.2130895474
-639.9860337906        6.4630102594		29769.5195609230
-640.0602633709        6.4630102594		29738.6556144562
-640.2962635193        6.4630102594		29659.5365566288
-640.3660733295        6.4630102594		29629.4984436504
-640.2970088560        6.4630102594		29643.4370032691
-640.3101733872        6.4630102594		29647.4650642336
-640.3946432514        6.4630102594		29628.6236527135
-640.5417511243        6.4630102594		29588.5520428560
-640.3842599359        6.4630102594		29616.1999136746
-640.1593372725        6.4630102594		29670.7849508140
-640.0091272312        6.4630102594		29701.8993711442
-640.1982661292        6.4630102594		29666.2706767130
-640.2952932449        6.4630102594		29657.2785031850
-640.2055403309        6.4630102594		29694.9758471497
-639.9919504380        6.4630102594		29756.0961469431
-639.9462101956        6.4630102594		29775.5779290729
-640.0708869668        6.4630102594		29728.0776718491
-640.3786831498        6.4630102594		29633.4865530186
-640.3820298457        6.4630102594		29637.0377509868
-640.1265959542        6.4630102594		29693.1904571359
-640.3894819970        6.4630102594		29603.1193247623
-640.4221182475        6.4630102594		29562.8806296515
-640.4720434284        6.4630102594		29559.3662327048
-640.3410960581        6.4630102594		29607.6866395689
-640.3954947485        6.4630102594		29599.8906181443
-640.5017147722        6.4630102594		29572.1671589825
-640.4728457336        6.4630102594		29573.7966128665
-640.4069420166        6.4630102594		29595.2308189285
-640.2918753582        6.4630102594		29644.6319755267
-640.0250564428        6.4630102594		29731.7119739344
-640.2430883047        6.4630102594		29698.2229562065
-640.5275508598        6.4630102594		29622.8544497124
-640.5862634814        6.4630102594		29607.2547173679
-640.4782755652        6.4630102594		29636.1985164252
-640.4360243735        6.4630102594		29646.5145114055
-640.4049743126        6.4630102594		29654.6066477165
-640.3051790168        6.4630102594		29667.1831325709
-640.4002891573        6.4630102594		29645.7389543022
-640.4005248557        6.4630102594		29644.6355128565
-640.6708985892        6.4630102594		29571.3838893924
-640.9956193770        6.4630102594		29468.2683294958
-641.0428245803        6.4630102594		29445.8751710878
-640.7613879986        6.4630102594		29524.8391574954
-640.4672218972        6.4630102594		29615.1716239304
-640.3993452393        6.4630102594		29633.8259059765
-640.4486733995        6.4630102594		29614.4538500273
-640.5176813915        6.4630102594		29604.0197432491
-640.3925584506        6.4630102594		29642.0920386272
-640.3185335173        6.4630102594		29666.9344401243
-640.4621714064        6.4630102594		29636.1745398451
-640.5112035166        6.4630102594		29620.6362299494
-640.4373472646        6.4630102594		29635.9498135147
-640.3331791870        6.4630102594		29648.2123655798
-640.4791341625        6.4630102594		29593.7923982223
-640.6926204078        6.4630102594		29530.8960448713
-640.7432337888        6.4630102594		29510.1873859627
-640.8426588343        6.4630102594		29465.0310647756
-641.0465132079        6.4630102594		29394.7060209079
-641.2085803159        6.4630102594		29369.8390345539
-641.0822060777        6.4630102594		29444.1209449446
-640.6955698759        6.4630102594		29593.6755568937
-640.2081389311        6.4630102594		29774.6693182686
-639.6956306579        6.4630102594		29946.2899001645
-639.5347329301        6.4630102594		30021.7095036179
-639.2274644842        6.4630102594		30120.2438099118
-639.1314832977        6.4630102594		30157.8998785372
-639.4158104017        6.4630102594		30097.0991527540
-639.5234149879        6.4630102594		30047.8732327099
-639.5900070398        6.4630102594		29979.3871284058
-639.7272633235        6.4630102594		29876.2642731220
-639.9275305627        6.4630102594		29758.6022205753
-640.2136430874        6.4630102594		29664.4349870230
-640.1618308578        6.4630102594		29683.3211313245
-640.3080238563        6.4630102594		29672.7665769309
-640.5699212815        6.4630102594		29618.2414791348
-640.6011652546        6.4630102594		29616.0006330261
-640.4858208033        6.4630102594		29669.6328399404
-640.2605928330        6.4630102594		29748.2630538942
-640.3303207467        6.4630102594		29732.3289303752
-640.5680660174        6.4630102594		29663.7293166389
-640.4374128049        6.4630102594		29706.2996399936
-640.1612659314        6.4630102594		29815.0086506161
-640.0201465143        6.4630102594		29883.7876661174
-639.9920012326        6.4630102594		29896.9859509858
-640.0821101823        6.4630102594		29851.5445802583
-640.0149339784        6.4630102594		29821.9545588204
-640.1824401439        6.4630102594		29727.7919015293
-640.5614721811        6.4630102594		29608.3326882710
-640.6427759209        6.4630102594		29585.4783123715
-640.5129942515        6.4630102594		29631.8545207108
-640.2993381821        6.4630102594		29684.4394707590
-640.7586872012        6.4630102594		29599.9155111157
-640.7192821761        6.4630102594		29610.6435236348
-640.5835403754        6.4630102594		29644.6646339181
-640.5523909735        6.4630102594		29644.3670749691
-640.4664637295        6.4630102594		29644.8969832880
-640.3267248510        6.4630102594		29675.0433500176
-640.1780539668        6.4630102594		29727.6453363683
-640.0801624615        6.4630102594		29755.5543060441
-640.1658195200        6.4630102594		29735.7930878489
-640.2652013974        6.4630102594		29700.8299672738
-640.3604715507        6.4630102594		29649.5087957851
-640.3212262833        6.4630102594		29619.8235777647
-640.4687851649        6.4630102594		29581.8471831416
-640.5035291775        6.4630102594		29595.8245604034
-640.4217257621        6.4630102594		29636.5833458983
-640.3808078932        6.4630102594		29659.2472185166
-640.3319856481        6.4630102594		29676.2436592969
-640.4266008804        6.4630102594		29647.0844089728
-640.3924993185        6.4630102594		29648.0556473676
-640.4857030031        6.4630102594		29616.5216076364
-640.7284505683        6.4630102594		29535.0810170892
-640.6400114196        6.4630102594		29542.1655545945
-640.3580948741        6.4630102594		29617.9170069217
-640.1295420265        6.4630102594		29695.2275590080
-640.0310979006        6.4630102594		29721.8884607146
-640.2308668583        6.4630102594		29675.3604831779
-640.2864913108        6.4630102594		29660.0028997661
-640.3272244872        6.4630102594		29669.1696955012
-640.0539144478        6.4630102594		29761.7588140262
-639.8005246008        6.4630102594		29847.3862259992
-639.7231057748        6.4630102594		29852.6331681138
-639.9918689969        6.4630102594		29768.0412218176
-640.0817579949        6.4630102594		29748.5295242237
-639.9499035962        6.4630102594		29776.4835926773
-639.8592750753        6.4630102594		29774.3788500921
-639.9735155462        6.4630102594		29743.7514929734
-640.0429607038        6.4630102594		29749.8494524104
-639.8190545157        6.4630102594		29841.0682708184
-639.6822546555        6.4630102594		29912.0166345132
-639.5881958532        6.4630102594		29963.8177138117
-639.5271116103        6.4630102594		29998.2551868560
-639.6959013307        6.4630102594		29945.0035723313
-640.0392468876        6.4630102594		29826.8792216820
-640.2897341394        6.4630102594		29723.0315057275
-640.2497498081        6.4630102594		29695.8545482329
-640.2615898798        6.4630102594		29668.5149112413
-640.3019466083        6.4630102594		29640.2357439788
-640.2157187153        6.4630102594		29656.9744971235
-640.0751447557        6.4630102594		29713.9978921250
-639.7835080937        6.4630102594		29801.1729951279
-639.8471633286        6.4630102594		29792.0272775266
-639.8827997078        6.4630102594		29779.8399848510
-639.9549494758        6.4630102594		29769.1904644997
-640.2519689667        6.4630102594		29696.6922754572
-640.4227895598        6.4630102594		29662.1688681758
-640.2997913044        6.4630102594		29708.6086562178
-640.1306210845        6.4630102594		29762.1355302678
-640.2093002845        6.4630102594		29734.2217834515
-640.2714014084        6.4630102594		29697.2318736516
-640.2895355516        6.4630102594		29677.9401107372
-640.4159832775        6.4630102594		29622.3802382515
-640.5440364851        6.4630102594		29578.1883312029
-640.5714462803        6.4630102594		29571.6949839738
-640.5868253814        6.4630102594		29558.3000611519
-640.7624983858        6.4630102594		29496.4001804702
-640.6472435236        6.4630102594		29512.3914893839
-640.1854326355        6.4630102594		29641.5927872468
-639.8190760425        6.4630102594		29765.1035743439
-639.8036487495        6.4630102594		29760.4383061020
-640.4051008680        6.4630102594		29642.8188624433
-640.1753646003        6.4630102594		29703.6267223753
-640.2566986919        6.4630102594		29668.5493583298
-640.4452194934        6.4630102594		29600.2843043655
-640.6186040529        6.4630102594		29552.0557490809
-640.6203930642        6.4630102594		29542.0252799726
-640.5190888382        6.4630102594		29551.7414746567
-640.4715946765        6.4630102594		29549.5492083133
-640.5036345368        6.4630102594		29536.9906899242
-640.5411795071        6.4630102594		29521.5491891096
-640.4844504429        6.4630102594		29523.4178436127
-640.4991856837        6.4630102594		29537.1158301308
-640.1835518020        6.4630102594		29636.3013906813
-640.0307350375        6.4630102594		29701.8277637548
-640.1946467767        6.4630102594		29678.7997740269
-640.2192563458        6.4630102594		29684.7720855163
-640.0844567148        6.4630102594		29731.9517311458
-639.9677102680        6.4630102594		29774.6722989930
-639.8325479942        6.4630102594		29803.5626469398
-639.9717780993        6.4630102594		29755.2932774133
-640.0433704455        6.4630102594		29723.9146791637
-640.0845330718        6.4630102594		29711.7889799577
-640.1049025639        6.4630102594		29711.3922018931
-639.9082466584        6.4630102594		29775.2832683214
-639.6076778934        6.4630102594		29873.1257601868
-639.4711522771        6.4630102594		29919.1831396766
-639.8678580857        6.4630102594		29829.3152247485
-640.0092587260        6.4630102594		29794.5030162789
-639.8908026257        6.4630102594		29828.0921435059
-639.7945101794        6.4630102594		29860.4600726919
-639.9536715662        6.4630102594		29809.7508148180
-640.3647262356        6.4630102594		29681.7953225329
-640.5076554847        6.4630102594		29620.6689030550
-640.3444234924        6.4630102594		29649.6801284978
-639.9686072703        6.4630102594		29742.7712386215
-639.8252288255        6.4630102594		29778.3412864927
-640.1028662362        6.4630102594		29691.4793276382
-640.2970810382        6.4630102594		29622.8841781636
-640.4580014939        6.4630102594		29581.1296728324
-640.4752900306        6.4630102594		29602.0179305301
-640.3133873560        6.4630102594		29681.4927069534
-640.2357533406        6.4630102594		29726.9138112230
-640.2008876563        6.4630102594		29722.5847421760
-640.0670494670        6.4630102594		29745.5754398727
-639.7704320440        6.4630102594		29820.7469323720
-639.7475740381        6.4630102594		29808.2085229955
-639.9020021742        6.4630102594		29743.0696600934
-640.2924360434        6.4630102594		29631.7540437937
-640.4754154717        6.4630102594		29585.4303416763
-640.3617174785        6.4630102594		29623.8020048107
-640.4112820212        6.4630102594		29635.2776509199
-640.4237422723        6.4630102594		29643.0631726028
-640.2783217962        6.4630102594		29680.1832280595
-640.1688273652        6.4630102594		29707.1151405092
-639.9312970411        6.4630102594		29776.8951670493
-639.8834212465        6.4630102594		29811.7348954892
-640.1285765492        6.4630102594		29750.8288956931
-640.2062604655        6.4630102594		29707.6452434923
-640.0287746507        6.4630102594		29736.8872079954
-639.7590525972        6.4630102594		29800.2677149455
-639.9007484479        6.4630102594		29774.8725388321
-640.1448740004        6.4630102594		29712.4697015617
-640.4802350121        6.4630102594		29611.4100495590
-640.7987145154        6.4630102594		29515.4394640353
-640.8641240549        6.4630102594		29509.3577994694
-640.6138521852        6.4630102594		29604.9710332581
-640.4372623323        6.4630102594		29657.0150214419
-640.5324140223        6.4630102594		29603.9003302620
-640.7583798505        6.4630102594		29544.6430224680
-640.6465225195        6.4630102594		29589.3812828911
-640.3933491070        6.4630102594		29662.3570278480
-640.2813784514        6.4630102594		29683.5241320192
-640.3906083030        6.4630102594		29650.3813176850
-640.2622346042        6.4630102594		29654.5414647031
-640.4224738694        6.4630102594		29589.0747635460
-640.5830910327        6.4630102594		29555.3289632539
-640.1653447342        6.4630102594		29679.2200102200
-640.1331270798        6.4630102594		29717.1111894662
-639.8271512246        6.4630102594		29799.8946634852
-639.8551372276        6.4630102594		29808.2461646053
